ID,partita,punti,stagione,campo,campionato
8352,Gardolo - Charly Merano,NULL,2018/2019,Centro Sportivo Trento Nord,Under 16
8354,Gardolo A - Europa Bolzano,NULL,2018/2019,Centro Sportivo Trento Nord,Under 18
8359,Gardolo B - Charly Merano,NULL,2018/2019,Centro Sportivo Trento Nord,Under 18
8360,Virtus Alto Garda - Gardolo B,NULL,2018/2019,Pal. 'E. Impera',Under 18
8361,Junior Bk Rovereto - Gardolo A,NULL,2018/2019,SCUOLA M. ¿D. CHIESA¿,Under 18
8363,Gardolo A - Bk Pergine Gold,NULL,2018/2019,Centro Sportivo Trento Nord,Under 18
8365,Gardolo B - Bk Pergine Silver,NULL,2018/2019,Centro Sportivo Trento Nord,Under 18
8366,Europa Bolzano - Gardolo B,NULL,2018/2019,SC. MEDIA ADA NEGRI,Under 18
8367,Pall. Villazzano - Gardolo A,NULL,2018/2019,PALESTRA S.M. PASCOLI,Under 18
8368,Gardolo A - Virtus Alto Garda,NULL,2018/2019,Centro Sportivo Trento Nord,Under 18
8369,Gardolo B - Junior Bk Rovereto,NULL,2018/2019,Centro Sportivo Trento Nord,Under 18
8370,Gardolo A - Maia Merano,NULL,2018/2019,Centro Sportivo Trento Nord,Under 18
8371,Bk Pergine Gold - Gardolo B,NULL,2018/2019,Palestra ''Garbari'',Under 18
8372,Charly Merano - Gardolo A,NULL,2018/2019,PALESTRA SEGANTINI,Under 18
8373,Gardolo B - Pall. Villazzano,NULL,2018/2019,Centro Sportivo Trento Nord,Under 18
8374,Gardolo A - Gardolo B,NULL,2018/2019,Centro Sportivo Trento Nord,Under 18
8375,Gardolo B - Maia Merano,NULL,2018/2019,Centro Sportivo Trento Nord,Under 18
8376,Bk Pergine Silver - Gardolo A,NULL,2018/2019,Palestra ''Garbari'',Under 18
8377,Europa Bolzano - Gardolo A,NULL,2018/2019,SC. MEDIA ADA NEGRI,Under 18
8378,Charly Merano - Gardolo B,NULL,2018/2019,Palestra ¿Segantini¿,Under 18
8379,Gardolo B - Virtus Alto Garda,NULL,2018/2019,Centro Sportivo Trento Nord,Under 18
8380,Gardolo A - Junior Bk Rovereto,NULL,2018/2019,Centro Sportivo Trento Nord,Under 18
8381,Bk Pergine Gold - Gardolo A,NULL,2018/2019,Palestra ''Garbari'',Under 18
8382,Bk Pergine Silver - Gardolo B,NULL,2018/2019,Palestra ''Garbari'',Under 18
8383,Gardolo B - Europa Bolzano,NULL,2018/2019,Centro Sportivo Trento Nord,Under 18
8384,Gardolo A - Pall. Villazzano,NULL,2018/2019,Centro Sportivo Trento Nord,Under 18
8385,Virtus Alto Garda - Gardolo A,NULL,2018/2019,Pal. 'E. Impera',Under 18
8386,Junior Bk Rovereto - Gardolo B,NULL,2018/2019,SCUOLA M. ¿D. CHIESA¿,Under 18
8387,Maia Merano - Gardolo A,NULL,2018/2019,Palestra ¿Segantini¿,Under 18
8388,Gardolo B - Bk Pergine Gold,NULL,2018/2019,Centro Sportivo Trento Nord,Under 18
8389,Bc Gardolo A 110 - Charly Merano 61,"a:2:{i:8353;a:2:{s:6:""points"";s:3:""110"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5782;a:2:{s:6:""points"";s:2:""61"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2018/2019,Centro Sportivo Trento Nord,Under 18
8390,Pall. Villazzano - Gardolo B,NULL,2018/2019,PALESTRA S.M. PASCOLI,Under 18
8391,Bc Gardolo B 77 - Bc Gardolo A 91,"a:2:{i:8358;a:2:{s:6:""points"";s:2:""77"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:8353;a:2:{s:6:""points"";s:2:""91"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2018/2019,Centro Sportivo Trento Nord,Under 18
8392,Maia Merano 80 - Bc Gardolo B 45,"a:2:{i:5771;a:2:{s:6:""points"";s:2:""80"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:8358;a:2:{s:6:""points"";s:2:""45"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2018/2019,Palestra ¿Segantini¿,Under 18
8393,Gardolo A - Bk Pergine Silver,NULL,2018/2019,Centro Sportivo Trento Nord,Under 18
8398,Pall. Villazzano 59 - Bc Gardolo 58,"a:2:{i:5778;a:2:{s:6:""points"";s:2:""59"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""58"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2018/2019,PALESTRA S.M. PASCOLI,Promozione
8400,Bc Gardolo 61 - Virtus Altogarda Jr 63,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""61"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:8399;a:2:{s:6:""points"";s:2:""63"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2018/2019,Centro Sportivo Trento Nord,Promozione
8402,Paganella Basket 80 - Bc Gardolo 51,"a:2:{i:8401;a:2:{s:6:""points"";s:2:""80"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""51"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2018/2019,PALAVIS,Promozione
8403,Bc Gardolo 68 - Asd Tridentum 64,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""68"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:7863;a:2:{s:6:""points"";s:2:""64"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2018/2019,Centro Sportivo Trento Nord,Promozione
8405,Ssv Brixen 73 - Bc Gardolo 76,"a:2:{i:8404;a:2:{s:6:""points"";s:2:""73"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""76"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2018/2019,PALAZZETTO ROSSLAUF,Promozione
8406,Bc Gardolo 43 - Gs Belvedere 56,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""43"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:6786;a:2:{s:6:""points"";s:2:""56"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2018/2019,Centro Sportivo Trento Nord,Promozione
8407,Apecheronza Avio 59 - Bc Gardolo 67,"a:2:{i:3401;a:2:{s:6:""points"";s:2:""59"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""67"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2018/2019,PALESTRA SCUOLA MEDIA D. ALIGH,Promozione
8409,Olimpia Bolzano 77 - Bc Gardolo 61,"a:2:{i:8307;a:2:{s:6:""points"";s:2:""77"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""61"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2018/2019,Pal. Scuola Media ¿E. Fermi¿,Promozione
8410,Bc Gardolo 56 - Night Owls Trento 49,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""56"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:7459;a:2:{s:6:""points"";s:2:""49"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2018/2019,Centro Sportivo Trento Nord,Promozione
8411,Maia Merano 67 - Bc Gardolo 57,"a:2:{i:5771;a:2:{s:6:""points"";s:2:""67"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""57"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2018/2019,Palestra ¿Segantini¿,Promozione
8412,Bc Gardolo 60 - Pall. Villazzano 56,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""60"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5778;a:2:{s:6:""points"";s:2:""56"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2018/2019,Centro Sportivo Trento Nord,Promozione
8413,Virtus Altogarda Jr 67 - Bc Gardolo 54,"a:2:{i:8399;a:2:{s:6:""points"";s:2:""67"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""54"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2018/2019,Pal. 'E. Impera',Promozione
8414,Bc Gardolo 73 - Paganella Basket 65,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""73"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:8401;a:2:{s:6:""points"";s:2:""65"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2018/2019,Centro Sportivo Trento Nord,Promozione
8415,Asd Tridentum 50 - Bc Gardolo 56,"a:2:{i:7863;a:2:{s:6:""points"";s:2:""50"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""56"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2018/2019,PALESTRA 'MANAZZON',Promozione
8416,Bc Gardolo 58 - Ssv Brixen 52,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""58"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:8404;a:2:{s:6:""points"";s:2:""52"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2018/2019,Centro Sportivo Trento Nord,Promozione
8417,Gs Belvedere 58 - Bc Gardolo 43,"a:2:{i:6786;a:2:{s:6:""points"";s:2:""58"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""43"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2018/2019,PALESTRA NAVARINI,Promozione
8418,Bc Gardolo 78 - Apecheronza Avio 85,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""78"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:3401;a:2:{s:6:""points"";s:2:""85"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2018/2019,Centro Sportivo Trento Nord,Promozione
8419,Blue Bear Villazzano A 60 - Bc Gardolo 54,"a:2:{i:5787;a:2:{s:6:""points"";s:2:""60"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""54"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2018/2019,PalaBocchi,Promozione
8420,Bc Gardolo 63 - Olimpia Bolzano 56,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""63"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:8307;a:2:{s:6:""points"";s:2:""56"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2018/2019,Centro Sportivo Trento Nord,Promozione
8421,Night Owls Trento 56 - Bc Gardolo 59,"a:2:{i:7459;a:2:{s:6:""points"";s:2:""56"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""59"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2018/2019,PalaBocchi,Promozione
8422,Bc Gardolo 79 - Pergine Audace 63,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""79"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5789;a:2:{s:6:""points"";s:2:""63"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2018/2019,Centro Sportivo Trento Nord,Serie D
8426,Cus Trento 70 - Bc Gardolo 68,"a:2:{i:6661;a:2:{s:6:""points"";s:2:""70"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""68"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2018/2019,PALESTRA SANBAPOLIS,Serie D
8427,Gardolo - Gs Riva 2018,"a:2:{i:5763;a:1:{s:6:""points"";s:0:"""";}i:8286;a:1:{s:6:""points"";s:0:"""";}}",2018/2019,Centro Sportivo Trento Nord,Serie D
8428,Bc Gardolo 80 - Europa Bolzano 61,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""80"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:3365;a:2:{s:6:""points"";s:2:""61"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2018/2019,Centro Sportivo Trento Nord,Serie D
8429,Charly Merano 63 - Bc Gardolo 89,"a:2:{i:5782;a:2:{s:6:""points"";s:2:""63"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""89"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2018/2019,PALESTRA SEGANTINI,Serie D
8430,Bc Gardolo 102 - Psg Villafranca 71,"a:2:{i:5763;a:2:{s:6:""points"";s:3:""102"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:6663;a:2:{s:6:""points"";s:2:""71"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2018/2019,Centro Sportivo Trento Nord,Serie D
8431,Junior Bk Rovereto 64 - Bc Gardolo 84,"a:2:{i:6747;a:2:{s:6:""points"";s:2:""64"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""84"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2018/2019,SCUOLA M. ¿D. CHIESA¿,Serie D
8432,Bc Gardolo 79 - Virtus Alto Garda 60,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""79"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:8323;a:2:{s:6:""points"";s:2:""60"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2018/2019,Centro Sportivo Trento Nord,Serie D
8433,Piani Junior 64 - Bc Gardolo 58,"a:2:{i:5786;a:2:{s:6:""points"";s:2:""64"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""58"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2018/2019,PALAMAZZALI,Serie D
8434,Pergine Audace - Gardolo,"a:2:{i:5789;a:1:{s:6:""points"";s:0:"""";}i:5763;a:1:{s:6:""points"";s:0:"""";}}",2018/2019,Palestra ''Garbari'',Serie D
8435,Bc Gardolo 79 - Cus Trento 89,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""79"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:6661;a:2:{s:6:""points"";s:2:""89"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2018/2019,Centro Sportivo Trento Nord,Serie D
8436,GS Riva 2018 78 - Bc Gardolo 87,"a:2:{i:8286;a:2:{s:6:""points"";s:2:""78"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""87"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2018/2019,PAL. I.T.C.G ¿ FLORIANI¿,Serie D
8437,Europa Bolzano 62 - Bc Gardolo 74,"a:2:{i:3365;a:2:{s:6:""points"";s:2:""62"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""74"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2018/2019,SC. MEDIA ADA NEGRI,Serie D
8438,Gardolo - Charly Merano,"a:2:{i:5763;a:1:{s:6:""points"";s:2:""20"";}i:5782;a:1:{s:6:""points"";s:0:"""";}}",2018/2019,Centro Sportivo Trento Nord,Serie D
8439,Psg Villafranca 74 - Bc Gardolo 76,"a:2:{i:6663;a:2:{s:6:""points"";s:2:""74"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""76"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2018/2019,PALESTRA ISTITUTO CARLO ANTI,Serie D
8440,Bc Gardolo 88 - Junior Bk Rovereto 71,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""88"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:6747;a:2:{s:6:""points"";s:2:""71"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2018/2019,Centro Sportivo Trento Nord,Serie D
8441,Virtus Alto Garda 61 - Bc Gardolo 64,"a:2:{i:8323;a:2:{s:6:""points"";s:2:""61"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""64"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2018/2019,Pal. 'E. Impera',Serie D
8442,Bc Gardolo 73 - Piani Junior 78,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""73"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5786;a:2:{s:6:""points"";s:2:""78"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2018/2019,Centro Sportivo Trento Nord,Serie D
8443,Gardolo - Cus Trento,NULL,2017/2018,Centro Sportivo Trento Nord,Serie D
8774,Gardolo - Junior Bk Rovereto,NULL,2018/2019,Centro Sportivo Trento Nord,Aquilotti
8777,Mb Trento Blu - Gardolo,NULL,2018/2019,PalaBocchi,Aquilotti
8779,Alto Adige Suedtirol A - Gardolo,NULL,2018/2019,SC. MEDIA ADA NEGRI,Aquilotti
8781,Gardolo - Mb Trento Azzurro,NULL,2018/2019,Centro Sportivo Trento Nord,Aquilotti
8782,Virtus Altogarda A - Gardolo,NULL,2018/2019,SC. ELEM. PERNICI,Aquilotti
8783,Junior Bk Rovereto - Gardolo,NULL,2018/2019,Palestra Istituto Alberghiero,Aquilotti
8784,Gardolo - Mb Trento Blu,NULL,2018/2019,Centro Sportivo Trento Nord,Aquilotti
8785,Gardolo - Alto Adige Suedtirol A,NULL,2018/2019,Centro Sportivo Trento Nord,Aquilotti
8786,Mb Trento Azzurro - Gardolo,NULL,2018/2019,PalaBocchi,Aquilotti
8787,Gardolo - Virtus Altogarda A,NULL,2018/2019,Centro Sportivo Trento Nord,Aquilotti
8788,Bc Gardolo 85 - Maia Merano 53,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""85"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5771;a:2:{s:6:""points"";s:2:""53"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2018/2019,Centro Sportivo Trento Nord,Promozione
8791,Paganella Minibasket - Gardolo,NULL,2018/2019,PALAVIS,Esordienti
8794,Gardolo - Mb Trento Bianco,NULL,2018/2019,Centro Sportivo Trento Nord,Esordienti
8796,Accademia Del Divertimento - Gardolo,NULL,2018/2019,PALAMAZZALI,Esordienti
8798,Gardolo - Alto Adige Suedtirol,NULL,2018/2019,Centro Sportivo Trento Nord,Esordienti
8799,Gardolo - Maia Merano,NULL,2018/2019,Centro Sportivo Trento Nord,Esordienti
8801,Arcobaleno Azzurro - Gardolo,NULL,2018/2019,PALESTRA S.M. PASCOLI,Esordienti
8803,Gardolo - Rotaliana Minibasket,NULL,2018/2019,Centro Sportivo Trento Nord,Esordienti
8804,Gardolo - Paganella Minibasket,NULL,2018/2019,Centro Sportivo Trento Nord,Esordienti
8805,Mb Trento Bianco - Gardolo,NULL,2018/2019,PalaBocchi,Esordienti
8806,Gardolo - Accademia Del Divertimento,NULL,2018/2019,Centro Sportivo Trento Nord,Esordienti
8807,Alto Adige Suedtirol - Gardolo,NULL,2018/2019,SC. MEDIA ADA NEGRI,Esordienti
8808,Maia Merano 15 - Bc Gardolo 65,"a:2:{i:5771;a:2:{s:6:""points"";s:2:""15"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""65"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2018/2019,Palestra ¿Segantini¿,Esordienti
8809,Bc Gardolo 70 - Arcobaleno Azzurro 14,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""70"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:8800;a:2:{s:6:""points"";s:2:""14"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2018/2019,Centro Sportivo Trento Nord,Esordienti
8810,Rotaliana Minibasket 12 - Bc Gardolo 45,"a:2:{i:8802;a:2:{s:6:""points"";s:2:""12"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""45"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2018/2019,Scuola Media De Eccher,Esordienti
9315,Junior Bk Rovereto - Gardolo,NULL,2018/2019,Palestra Istituto Alberghiero,Aquilotti
9316,Gardolo - Mb Trento Blu,NULL,2018/2019,Centro Sportivo Trento Nord,Aquilotti
9317,Gardolo - Alto Adige Suedtirol A,NULL,2018/2019,Centro Sportivo Trento Nord,Aquilotti
9318,Mb Trento Azzurro - Gardolo,NULL,2018/2019,PalaBocchi,Aquilotti
9319,Gardolo - Virtus Altogarda A,NULL,2018/2019,Centro Sportivo Trento Nord,Aquilotti
9320,Gardolo - Junior Bk Rovereto,NULL,2018/2019,Centro Sportivo Trento Nord,Aquilotti
9321,Gardolo - Paganella Minibasket,NULL,2018/2019,Centro Sportivo Trento Nord,Esordienti
9322,Gardolo - Mb Trento Bianco,NULL,2018/2019,Centro Sportivo Trento Nord,Esordienti
9323,Gardolo - Alto Adige Suedtirol,NULL,2018/2019,Centro Sportivo Trento Nord,Esordienti
9324,Gardolo - Maia Merano,NULL,2018/2019,c.s. la vela palestra,Esordienti
9325,Gardolo - Rotaliana Minibasket,NULL,2018/2019,Centro Sportivo Trento Nord,Esordienti
9327,Valle Di Cavedine - Gardolo,NULL,2018/2019,Palestra Bellesini,Under 15
9328,Gardolo - Pall. Villazzano Rosso,NULL,2018/2019,Centro Sportivo Trento Nord,Under 15
9329,Pall. Villazzano Bianco - Gardolo,NULL,2018/2019,PALESTRA S.M. PASCOLI,Under 15
9330,Gardolo - Europa Bolzano,NULL,2018/2019,Centro Sportivo Trento Nord,Under 16
9331,Olimpia Bolzano - Gardolo,NULL,2018/2019,Pal. Scuola Media ¿E. Fermi¿,Under 16
9332,Bc Gardolo 63 - Junior Bk Rovereto 58,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""63"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:6747;a:2:{s:6:""points"";s:2:""58"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2018/2019,Centro Sportivo Trento Nord,Under 16
9333,Pall. Villazzano A - Gardolo,NULL,2018/2019,PALESTRA S.M. PASCOLI,Under 16
9334,Gardolo - Maia Merano,NULL,2018/2019,Centro Sportivo Trento Nord,Under 16
9335,Gardolo - Pall. Villazzano B,NULL,2018/2019,Centro Sportivo Trento Nord,Under 16
9336,Charly Merano - Gardolo,NULL,2018/2019,PALESTRA SEGANTINI,Under 16
9337,Pall. Villazzano A - Gardolo,NULL,2018/2019,PALESTRA S.M. PASCOLI,Under 16
9338,Europa Bolzano - Gardolo,NULL,2018/2019,SC. MEDIA ADA NEGRI,Under 16
9339,Europa Bolzano - Gardolo A,NULL,2018/2019,SC. MEDIA ADA NEGRI,Under 18
9342,Charly Merano - Gardolo B,NULL,2018/2019,Palestra ¿Segantini¿,Under 18
9343,Bc Gardolo 107 - Psg Villafranca 65,"a:2:{i:5763;a:2:{s:6:""points"";s:3:""107"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:6663;a:2:{s:6:""points"";s:2:""65"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2018/2019,Centro Sportivo Trento Nord,Serie D
9344,Gardolo - Pergine Audace,NULL,2018/2019,Centro Sportivo Trento Nord,Serie D
9345,Cus Trento - Gardolo,NULL,2018/2019,PALESTRA SANBAPOLIS,Serie D
9346,Bc Gardolo 71 - GS Riva 2018 67,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""71"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:8286;a:2:{s:6:""points"";s:2:""67"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2018/2019,Centro Sportivo Trento Nord,Serie D
9347,Bc Gardolo 87 - Europa Bolzano 50,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""87"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:3365;a:2:{s:6:""points"";s:2:""50"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2018/2019,Centro Sportivo Trento Nord,Serie D
9348,Charly Merano 53 - Bc Gardolo 68,"a:2:{i:5782;a:2:{s:6:""points"";s:2:""53"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""68"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2018/2019,PALESTRA SEGANTINI,Serie D
9349,Junior Bk Rovereto 62 - Bc Gardolo 57,"a:2:{i:6747;a:2:{s:6:""points"";s:2:""62"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:5763;a:2:{s:6:""points"";s:2:""57"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2018/2019,SCUOLA M. ¿D. CHIESA¿,Serie D
9350,Bc Gardolo 82 - Virtus Alto Garda 48,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""82"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:8323;a:2:{s:6:""points"";s:2:""48"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2018/2019,Centro Sportivo Trento Nord,Serie D
9351,Piani Junior 59 - Bc Gardolo 71,"a:2:{i:5786;a:2:{s:6:""points"";s:2:""59"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5763;a:2:{s:6:""points"";s:2:""71"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2018/2019,PALAMAZZALI,Serie D
9404,Gardolo - Alto Adige Suedtirol A,NULL,2018/2019,Centro Sportivo Trento Nord,Aquilotti
9655,Bc Gardolo 67 - Europa Bolzano 62,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""67"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}i:3365;a:2:{s:6:""points"";s:2:""62"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}}",2018/2019,c.s. la vela palestra,Under 16
9689,Bc Gardolo vs Junior Basket Rovereto,"a:2:{i:5763;a:1:{s:6:""points"";s:0:"""";}i:5777;a:1:{s:6:""points"";s:0:"""";}}",NULL,c.s. la vela palestra,NULL
9696,Mb Trento Blu - Gardolo,NULL,2018/2019,PalaBocchi,Aquilotti
9697,Gardolo - Virtus Altogarda A,NULL,2018/2019,Centro Sportivo Trento Nord,Aquilotti
9699,Arcobaleno Rosso - Gardolo,NULL,2018/2019,PALESTRA S.M. PASCOLI,Esordienti
9700,Gardolo - Gs Riva 2018,NULL,2018/2019,Centro Sportivo Trento Nord,Esordienti
9701,Maia Merano - Gardolo,NULL,2018/2019,Palestra ¿Segantini¿,Esordienti
9702,Gardolo - Maia Merano,NULL,2018/2019,c.s. la vela palestra,Esordienti
9703,Gardolo - Junior Bk Rovereto,NULL,2018/2019,Centro Sportivo Trento Nord,Under 16
9704,Bc Gardolo 63 - Blue Bear Villazzano A 69,"a:2:{i:5763;a:2:{s:6:""points"";s:2:""63"";s:7:""outcome"";a:1:{i:0;s:4:""loss"";}}i:5787;a:2:{s:6:""points"";s:2:""69"";s:7:""outcome"";a:1:{i:0;s:3:""win"";}}}",2018/2019,Centro Sportivo Trento Nord,Promozione
9705,Gardolo - Pergine Audace,NULL,2018/2019,Centro Sportivo Trento Nord,Serie D
9706,Gardolo - Gs Riva 2018,NULL,2018/2019,Centro Sportivo Trento Nord,Serie D
9707,Gardolo - Europa Bolzano,NULL,2018/2019,Centro Sportivo Trento Nord,Serie D
9710,Bc Gardolo vs Virtus Altogarda - Resoconto di una stagione stellare,"a:1:{i:5763;a:1:{s:6:""points"";s:0:"""";}}",2018/2019,Palestra ''Garbari'',Under 18
